Player;Date;Day;Comp;Round;Venue;Result;Squad;Opponent;Start;Pos;Min;Gls;Ast;PK;PKatt;Sh;SoT;CrdY;CrdR;Touches;Tkl;Int;Blocks;xG;npxG;xAG;SCA;GCA;Cmp;Att;Cmp%;PrgP;Carries;PrgC;Succ;Match Report;SoTA;GA;Saves;Save%;CS;PSxG;PKA;PKsv;PKm;Att (GK);Thr;Launch%;AvgLen;Opp;Stp;Stp%;#OPA;AvgDist
Romelu Lukaku;2024-06-17;Mon;UEFA Euro;Group stage;Neutral;L 0–1;be Belgium;sk Slovakia;Y;FW;90;0;0;0;0;3;2;0;0;26;0;0;0;0.6;0.6;0.1;3;0;14;0;82.4;1;15;1;0;Match Report;;;;;;;;;;;;;;;;;;
Dodi Lukebakio;2024-06-17;Mon;UEFA Euro;Group stage;Neutral;L 0–1;be Belgium;sk Slovakia;N;WB;7;0;0;0;0;0;0;1;0;7;0;0;1;0.0;0.0;0.0;0;0;2;1;50.0;0;2;0;0;Match Report;;;;;;;;;;;;;;;;;;
Andriy Lunin;2024-06-17;Mon;UEFA Euro;Group stage;Neutral;L 0–3;ua Ukraine;ro Romania;Y;GK;90;;;;0;;;;;;;;;;;;;;0;4;;;;;;Match Report;5;3;2;40.0;0;1.4;0;0;0;20;6;0.0;20.5;9;0;0.0;1;10.0
Mike Maignan;2024-06-17;Mon;UEFA Euro;Group stage;Neutral;W 1–0;fr France;at Austria;Y;GK;90;;;;0;;;;;;;;;;;;;;5;6;50.0;;;;;Match Report;3;0;3;100.0;1;1.5;0;0;0;34;5;16.7;26.7;21;1;4.8;0;6.8
Ruslan Malinovskyi;2024-06-17;Mon;UEFA Euro;Group stage;Neutral;L 0–3;ua Ukraine;ro Romania;N;CM;8;0;0;0;0;0;0;0;0;20;2;0;1;0.0;0.0;0.0;3;0;15;0;88.2;3;11;0;0;Match Report;;;;;;;;;;;;;;;;;;
Orel Mangala;2024-06-17;Mon;UEFA Euro;Group stage;Neutral;L 0–1;be Belgium;sk Slovakia;Y;DM;56;0;0;0;0;0;0;1;0;30;1;0;0;0.0;0.0;0.0;0;0;27;0;96.4;0;20;0;0;Match Report;;;;;;;;;;;;;;;;;;
Răzvan Marin;2024-06-17;Mon;UEFA Euro;Group stage;Neutral;W 3–0;ro Romania;ua Ukraine;Y;CM;90;1;0;0;0;1;1;1;0;33;1;0;1;0.0;0.0;0.0;3;0;19;2;76.0;2;14;1;1;Match Report;;;;;;;;;;;;;;;;;;
Kylian Mbappé;2024-06-17;Mon;UEFA Euro;Group stage;Neutral;W 1–0;fr France;at Austria;Y*;FW;89;0;0;0;0;4;1;1;0;39;0;0;1;0.8;0.8;0.0;3;0;24;7;92.3;5;32;5;3;Match Report;;;;;;;;;;;;;;;;;;
Mykhailo Mudryk;2024-06-17;Mon;UEFA Euro;Group stage;Neutral;L 0–3;ua Ukraine;ro Romania;Y;LW,LM;90;0;0;0;0;3;1;0;0;44;1;0;0;0.3;0.3;0.0;4;0;23;5;63.9;3;24;7;3;Match Report;;;;;;;;;;;;;;;;;;
Phillipp Mwene;2024-06-17;Mon;UEFA Euro;Group stage;Neutral;L 0–1;at Austria;fr France;Y;LB;87;0;0;0;0;0;0;1;0;52;6;0;3;0.0;0.0;0.0;1;0;29;0;82.9;1;21;2;0;Match Report;;;;;;;;;;;;;;;;;;
Adam Obert;2024-06-17;Mon;UEFA Euro;Group stage;Neutral;W 1–0;sk Slovakia;be Belgium;N;CB;1;0;0;0;0;0;0;0;0;3;0;0;0;0.0;0.0;0.0;0;0;2;0;100.0;0;1;0;0;Match Report;;;;;;;;;;;;;;;;;;
Amadou Onana;2024-06-17;Mon;UEFA Euro;Group stage;Neutral;L 0–1;be Belgium;sk Slovakia;Y;DM,CM;90;0;0;0;0;2;1;0;0;70;2;0;1;0.1;0.1;0.0;1;0;53;1;82.8;1;40;2;1;Match Report;;;;;;;;;;;;;;;;;;
Loïs Openda;2024-06-17;Mon;UEFA Euro;Group stage;Neutral;L 0–1;be Belgium;sk Slovakia;N;FW;7;0;0;0;0;0;0;0;0;2;0;0;0;0.0;0.0;0.0;1;0;1;0;50.0;0;3;0;0;Match Report;;;;;;;;;;;;;;;;;;
Stefan Posch;2024-06-17;Mon;UEFA Euro;Group stage;Neutral;L 0–1;at Austria;fr France;Y;RB;90;0;0;0;0;1;0;0;0;63;3;1;2;0.0;0.0;0.0;2;0;35;0;70.0;3;33;1;0;Match Report;;;;;;;;;;;;;;;;;;
George Pușcaș;2024-06-17;Mon;UEFA Euro;Group stage;Neutral;W 3–0;ro Romania;ua Ukraine;N;FW;16;0;0;0;0;0;0;0;0;8;0;0;0;0.0;0.0;0.0;0;0;2;0;28.6;0;1;0;0;Match Report;;;;;;;;;;;;;;;;;;
Adrien Rabiot;2024-06-17;Mon;UEFA Euro;Group stage;Neutral;W 1–0;fr France;at Austria;Y;DM;70;0;0;0;0;0;0;0;0;44;1;1;1;0.0;0.0;0.1;4;0;35;1;87.5;8;32;1;1;Match Report;;;;;;;;;;;;;;;;;;
Andrei Ratiu;2024-06-17;Mon;UEFA Euro;Group stage;Neutral;W 3–0;ro Romania;ua Ukraine;Y;RB;90;0;0;0;0;1;1;0;0;44;1;1;0;0.0;0.0;0.0;2;1;28;1;82.4;3;22;2;0;Match Report;;;;;;;;;;;;;;;;;;
Marcel Sabitzer;2024-06-17;Mon;UEFA Euro;Group stage;Neutral;L 0–1;at Austria;fr France;Y*;LW,CM;90;0;0;0;0;1;0;0;0;40;0;0;2;0.0;0.0;0.5;2;0;21;0;65.6;2;22;0;0;Match Report;;;;;;;;;;;;;;;;;;
William Saliba;2024-06-17;Mon;UEFA Euro;Group stage;Neutral;W 1–0;fr France;at Austria;Y;CB;90;0;0;0;0;0;0;0;0;72;1;0;1;0.0;0.0;0.0;0;0;59;1;95.2;1;58;0;1;Match Report;;;;;;;;;;;;;;;;;;
Romano Schmid;2024-06-17;Mon;UEFA Euro;Group stage;Neutral;L 0–1;at Austria;fr France;N;CM;1;0;0;0;0;0;0;0;0;8;0;0;0;0.0;0.0;0.0;0;0;5;0;71.4;1;5;0;0;Match Report;;;;;;;;;;;;;;;;;;
Nicolas Seiwald;2024-06-17;Mon;UEFA Euro;Group stage;Neutral;L 0–1;at Austria;fr France;Y;DM;90;0;0;0;0;0;0;0;0;76;8;1;2;0.0;0.0;0.0;0;0;57;0;91.9;5;53;3;0;Match Report;;;;;;;;;;;;;;;;;;
Milan Škriniar;2024-06-17;Mon;UEFA Euro;Group stage;Neutral;W 1–0;sk Slovakia;be Belgium;Y*;CB;90;0;0;0;0;0;0;0;0;36;1;1;2;0.0;0.0;0.0;1;0;24;0;92.3;1;17;0;0;Match Report;;;;;;;;;;;;;;;;;;
Tomáš Suslov;2024-06-17;Mon;UEFA Euro;Group stage;Neutral;W 1–0;sk Slovakia;be Belgium;N;LW,LM;21;0;0;0;0;0;0;0;0;16;0;0;2;0.0;0.0;0.0;0;0;6;3;54.5;1;8;3;1;Match Report;;;;;;;;;;;;;;;;;;
Marcus Thuram;2024-06-17;Mon;UEFA Euro;Group stage;Neutral;W 1–0;fr France;at Austria;Y;LW;90;0;0;0;0;5;2;0;0;43;1;0;3;0.2;0.2;0.1;2;0;20;5;83.3;1;26;4;2;Match Report;;;;;;;;;;;;;;;;;;
Youri Tielemans;2024-06-17;Mon;UEFA Euro;Group stage;Neutral;L 0–1;be Belgium;sk Slovakia;N;CM,DM;17;0;0;0;0;0;0;1;0;18;1;0;0;0.0;0.0;0.0;1;0;14;0;87.5;3;11;0;0;Match Report;;;;;;;;;;;;;;;;;;
Leandro Trossard;2024-06-17;Mon;UEFA Euro;Group stage;Neutral;L 0–1;be Belgium;sk Slovakia;Y;LW,AM,RW;73;0;0;0;0;3;1;0;0;35;2;0;1;0.1;0.1;0.1;1;0;15;1;65.2;3;24;1;0;Match Report;;;;;;;;;;;;;;;;;;
Viktor Tsyhankov;2024-06-17;Mon;UEFA Euro;Group stage;Neutral;L 0–3;ua Ukraine;ro Romania;Y;RW;62;0;0;0;0;2;0;0;0;42;0;0;1;0.1;0.1;0.0;1;0;25;1;78.1;1;29;2;0;Match Report;;;;;;;;;;;;;;;;;;
Dayot Upamecano;2024-06-17;Mon;UEFA Euro;Group stage;Neutral;W 1–0;fr France;at Austria;Y;CB;90;0;0;0;0;0;0;0;0;68;1;1;0;0.0;0.0;0.0;0;0;49;1;86.0;1;43;0;0;Match Report;;;;;;;;;;;;;;;;;;
Patrick Wimmer;2024-06-17;Mon;UEFA Euro;Group stage;Neutral;L 0–1;at Austria;fr France;N;RM;31;0;0;0;0;1;1;0;0;25;0;0;1;0.0;0.0;0.0;0;0;10;5;55.6;2;18;2;2;Match Report;;;;;;;;;;;;;;;;;;
Maximilian Wöber;2024-06-17;Mon;UEFA Euro;Group stage;Neutral;L 0–1;at Austria;fr France;Y;CB;58;0;0;0;0;0;0;1;0;58;3;1;1;0.0;0.0;0.0;1;0;39;0;79.6;4;45;0;0;Match Report;;;;;;;;;;;;;;;;;;
Roman Yaremchuk;2024-06-17;Mon;UEFA Euro;Group stage;Neutral;L 0–3;ua Ukraine;ro Romania;N;FW;28;0;0;0;0;2;0;0;0;10;0;0;0;0.1;0.1;0.0;0;0;5;1;83.3;0;9;1;1;Match Report;;;;;;;;;;;;;;;;;;
Illia Zabarnyi;2024-06-17;Mon;UEFA Euro;Group stage;Neutral;L 0–3;ua Ukraine;ro Romania;Y;CB;90;0;0;0;0;0;0;0;0;85;0;1;0;0.0;0.0;0.0;1;0;70;1;87.5;9;65;0;1;Match Report;;;;;;;;;;;;;;;;;;
Oleksandr Zinchenko;2024-06-17;Mon;UEFA Euro;Group stage;Neutral;L 0–3;ua Ukraine;ro Romania;Y;LB;90;0;0;0;0;0;0;0;0;91;2;0;1;0.0;0.0;0.0;3;0;79;1;89.8;5;61;1;1;Match Report;;;;;;;;;;;;;;;;;;
Antonín Barák;2024-06-18;Tue;UEFA Euro;Group stage;Neutral;L 1–2;cz Czechia;pt Portugal;N;CM;12;0;0;0;0;0;0;0;0;10;1;0;0;0.0;0.0;0.0;1;0;6;1;75.0;0;8;1;0;Match Report;;;;;;;;;;;;;;;;;;
Hakan Çalhanoğlu;2024-06-18;Tue;UEFA Euro;Group stage;Neutral;W 3–1;tr Türkiye;ge Georgia;Y*;DM,CM;89;0;0;0;0;4;1;1;0;106;2;0;1;0.1;0.1;0.0;4;0;89;1;89.9;10;63;2;0;Match Report;;;;;;;;;;;;;;;;;;
João Cancelo;2024-06-18;Tue;UEFA Euro;Group stage;Neutral;W 2–1;pt Portugal;cz Czechia;Y;LM,RM;89;0;0;0;0;1;0;0;0;84;0;0;0;0.0;0.0;0.0;3;0;69;1;87.3;16;54;7;1;Match Report;;;;;;;;;;;;;;;;;;
Zeki Çelik;2024-06-18;Tue;UEFA Euro;Group stage;Neutral;W 3–1;tr Türkiye;ge Georgia;N;RM;6;0;0;0;0;0;0;0;0;4;0;0;0;0.0;0.0;0.1;1;0;2;0;50.0;1;2;0;0;Match Report;;;;;;;;;;;;;;;;;;
Vladimír Coufal;2024-06-18;Tue;UEFA Euro;Group stage;Neutral;L 1–2;cz Czechia;pt Portugal;Y;RW;90;0;1;0;0;0;0;0;0;52;3;2;3;0.0;0.0;0.1;2;1;18;2;50.0;4;20;2;0;Match Report;;;;;;;;;;;;;;;;;;
Diogo Dalot;2024-06-18;Tue;UEFA Euro;Group stage;Neutral;W 2–1;pt Portugal;cz Czechia;Y;RM;62;0;0;0;0;1;0;0;0;45;0;0;1;0.0;0.0;0.0;3;0;36;3;87.8;2;29;1;2;Match Report;;;;;;;;;;;;;;;;;;
Arda Güler;2024-06-18;Tue;UEFA Euro;Group stage;Neutral;W 3–1;tr Türkiye;ge Georgia;Y;RW;78;1;0;0;0;1;1;0;0;55;3;0;0;0.0;0.0;0.5;4;0;39;4;84.8;2;36;3;1;Match Report;;;;;;;;;;;;;;;;;;
Diogo Jota;2024-06-18;Tue;UEFA Euro;Group stage;Neutral;W 2–1;pt Portugal;cz Czechia;N;LW;28;0;0;0;0;0;0;0;0;18;1;0;1;0.0;0.0;0.0;1;0;5;1;45.5;0;8;2;0;Match Report;;;;;;;;;;;;;;;;;;
Khvicha Kvaratskhelia;2024-06-18;Tue;UEFA Euro;Group stage;Neutral;L 1–3;ge Georgia;tr Türkiye;Y;FW,LW;90;0;0;0;0;1;0;0;0;50;0;0;0;0.1;0.1;0.3;6;0;33;11;84.6;3;31;5;3;Match Report;;;;;;;;;;;;;;;;;;
Rafael Leão;2024-06-18;Tue;UEFA Euro;Group stage;Neutral;W 2–1;pt Portugal;cz Czechia;Y;LW;62;0;0;0;0;1;0;1;0;26;1;1;0;0.0;0.0;0.0;1;0;14;3;63.6;0;25;8;1;Match Report;;;;;;;;;;;;;;;;;;
Giorgi Mamardashvili;2024-06-18;Tue;UEFA Euro;Group stage;Neutral;L 1–3;ge Georgia;tr Türkiye;Y;GK;90;;;;0;;;;;;;;;;;;;;4;8;25.0;;;;;Match Report;8;3;5;62.5;0;3.1;0;0;0;24;6;87.5;54.4;14;3;21.4;0;6.0
Georges Mikautadze;2024-06-18;Tue;UEFA Euro;Group stage;Neutral;L 1–3;ge Georgia;tr Türkiye;Y;FW;90;1;0;0;0;4;1;0;0;31;2;0;0;0.7;0.7;0.2;3;0;16;6;80.0;2;18;2;2;Match Report;;;;;;;;;;;;;;;;;;
Salih Özcan;2024-06-18;Tue;UEFA Euro;Group stage;Neutral;W 3–1;tr Türkiye;ge Georgia;N;CM;1;0;0;0;0;0;0;0;0;1;0;0;0;0.0;0.0;0.0;0;0;0;0;0.0;0;0;0;0;Match Report;;;;;;;;;;;;;;;;;;
Patrik Schick;2024-06-18;Tue;UEFA Euro;Group stage;Neutral;L 1–2;cz Czechia;pt Portugal;Y;FW;60;0;0;0;0;0;0;1;0;22;1;1;1;0.0;0.0;0.1;1;0;7;2;50.0;1;9;1;0;Match Report;;;;;;;;;;;;;;;;;;
Tomáš Souček;2024-06-18;Tue;UEFA Euro;Group stage;Neutral;L 1–2;cz Czechia;pt Portugal;Y*;DM;90;0;0;0;0;1;0;0;0;33;1;3;2;0.1;0.1;0.0;0;0;18;0;78.3;1;13;0;0;Match Report;;;;;;;;;;;;;;;;;;
Yusuf Yazıcı;2024-06-18;Tue;UEFA Euro;Group stage;Neutral;W 3–1;tr Türkiye;ge Georgia;N;FW;12;0;0;0;0;1;1;0;0;6;1;0;0;0.1;0.1;0.0;0;0;2;0;50.0;1;4;0;0;Match Report;;;;;;;;;;;;;;;;;;
Kenan Yıldız;2024-06-18;Tue;UEFA Euro;Group stage;Neutral;W 3–1;tr Türkiye;ge Georgia;Y;LW;84;0;0;0;0;2;1;0;0;47;0;0;0;0.0;0.0;0.1;7;1;33;7;91.7;3;36;3;1;Match Report;;;;;;;;;;;;;;;;;;
Michel Aebischer;2024-06-19;Wed;UEFA Euro;Group stage;Neutral;D 1–1;ch Switzerland;sct Scotland;Y;WB;90;0;0;0;0;0;0;0;0;57;1;0;0;0.0;0.0;0.0;2;0;41;1;83.7;5;30;1;0;Match Report;;;;;;;;;;;;;;;;;;
Manuel Akanji;2024-06-19;Wed;UEFA Euro;Group stage;Neutral;D 1–1;ch Switzerland;sct Scotland;Y;CB;90;0;0;0;0;0;0;0;0;61;0;0;1;0.0;0.0;0.0;1;0;49;0;90.7;3;39;0;0;Match Report;;;;;;;;;;;;;;;;;;
Zeki Amdouni;2024-06-19;Wed;UEFA Euro;Group stage;Neutral;D 1–1;ch Switzerland;sct Scotland;N;AM;5;0;0;0;0;1;0;0;0;3;0;0;0;0.2;0.2;0.0;0;0;0;0;0.0;0;2;0;0;Match Report;;;;;;;;;;;;;;;;;;
Robert Andrich;2024-06-19;Wed;UEFA Euro;Group stage;Neutral;W 2–0;de Germany;hu Hungary;Y;DM;71;0;0;0;0;1;0;0;0;58;4;0;1;0.0;0.0;0.0;0;0;44;0;89.8;3;45;0;0;Match Report;;;;;;;;;;;;;;;;;;
Kristjan Asllani;2024-06-19;Wed;UEFA Euro;Group stage;Neutral;D 2–2;al Albania;hr Croatia;Y;CM,LM;90;0;0;0;0;2;2;0;0;58;1;2;0;0.3;0.3;0.1;4;1;41;0;80.4;3;34;1;0;Match Report;;;;;;;;;;;;;;;;;;
Nedim Bajrami;2024-06-19;Wed;UEFA Euro;Group stage;Neutral;D 2–2;al Albania;hr Croatia;Y;LW,RW,RM;90;0;0;0;0;2;0;0;0;36;1;0;1;0.1;0.1;0.0;2;0;17;3;68.0;3;23;3;1;Match Report;;;;;;;;;;;;;;;;;;
Ante Budimir;2024-06-19;Wed;UEFA Euro;Group stage;Neutral;D 2–2;hr Croatia;al Albania;N;FW;22;0;1;0;0;2;2;0;0;13;1;0;0;0.2;0.2;0.7;3;1;4;2;50.0;1;5;1;1;Match Report;;;;;;;;;;;;;;;;;;
Ryan Christie;2024-06-19;Wed;UEFA Euro;Group stage;Neutral;D 1–1;sct Scotland;ch Switzerland;N;FW;1;0;0;0;0;0;0;0;0;4;0;0;0;0.0;0.0;0.0;1;0;2;0;100.0;0;2;0;0;Match Report;;;;;;;;;;;;;;;;;;
Berat Djimsiti;2024-06-19;Wed;UEFA Euro;Group stage;Neutral;D 2–2;al Albania;hr Croatia;Y*;CB;90;0;0;0;0;0;0;0;0;49;0;0;2;0.0;0.0;0.0;1;0;38;0;90.5;1;17;0;0;Match Report;;;;;;;;;;;;;;;;;;
Breel Embolo;2024-06-19;Wed;UEFA Euro;Group stage;Neutral;D 1–1;ch Switzerland;sct Scotland;N;FW;31;0;0;0;0;0;0;0;0;4;0;0;0;0.0;0.0;0.0;0;0;2;1;66.7;0;5;0;1;Match Report;;;;;;;;;;;;;;;;;;
Remo Freuler;2024-06-19;Wed;UEFA Euro;Group stage;Neutral;D 1–1;ch Switzerland;sct Scotland;Y;CM;74;0;0;0;0;0;0;0;0;52;2;1;1;0.0;0.0;0.0;1;0;36;0;83.7;3;28;1;0;Match Report;;;;;;;;;;;;;;;;;;
Chris Führich;2024-06-19;Wed;UEFA Euro;Group stage;Neutral;W 2–0;de Germany;hu Hungary;N;LW;19;0;0;0;0;1;0;0;0;17;1;0;2;0.0;0.0;0.0;0;0;13;1;92.9;2;13;3;1;Match Report;;;;;;;;;;;;;;;;;;
Niclas Füllkrug;2024-06-19;Wed;UEFA Euro;Group stage;Neutral;W 2–0;de Germany;hu Hungary;N;FW;33;0;0;0;0;1;0;0;0;9;1;0;0;0.1;0.1;0.1;1;0;5;0;100.0;1;7;0;0;Match Report;;;;;;;;;;;;;;;;;;
Pablo Galdames Millán;2024-06-19;Wed;Série A;Matchweek 10;Away;L 0–2;Vasco da Gama;Juventude;Y;DM;55;0;0;0;0;0;0;1;0;29;0;2;0;0.0;0.0;0.0;0;0;23;0;88.5;4;18;1;0;Match Report;;;;;;;;;;;;;;;;;;
Billy Gilmour;2024-06-19;Wed;UEFA Euro;Group stage;Neutral;D 1–1;sct Scotland;ch Switzerland;Y;CM;78;0;0;0;0;2;0;0;0;50;1;0;2;0.0;0.0;0.0;0;0;33;1;84.6;1;29;0;0;Match Report;;;;;;;;;;;;;;;;;;
Klaus Gjasula;2024-06-19;Wed;UEFA Euro;Group stage;Neutral;D 2–2;al Albania;hr Croatia;N;CM,RM;19;1;0;0;0;2;1;1;0;17;0;0;1;0.3;0.3;0.0;1;0;7;1;63.6;3;4;0;0;Match Report;;;;;;;;;;;;;;;;;;
Péter Gulácsi;2024-06-19;Wed;UEFA Euro;Group stage;Neutral;L 0–2;hu Hungary;de Germany;Y;GK;90;;;;0;;;;;;;;;;;;;;5;8;50.0;;;;;Match Report;7;2;5;71.4;0;3.0;0;0;0;28;6;37.5;40.0;17;1;5.9;1;14.0
İlkay Gündoğan;2024-06-19;Wed;UEFA Euro;Group stage;Neutral;W 2–0;de Germany;hu Hungary;Y*;AM;83;1;1;0;0;2;1;0;0;50;0;0;0;0.3;0.3;0.2;5;1;39;0;83.0;1;42;0;0;Match Report;;;;;;;;;;;;;;;;;;
Joško Gvardiol;2024-06-19;Wed;UEFA Euro;Group stage;Neutral;D 2–2;hr Croatia;al Albania;Y;CB;90;0;0;0;0;0;0;0;0;73;1;1;0;0.0;0.0;0.0;1;0;62;3;93.9;10;51;2;1;Match Report;;;;;;;;;;;;;;;;;;
Kai Havertz;2024-06-19;Wed;UEFA Euro;Group stage;Neutral;W 2–0;de Germany;hu Hungary;Y;FW;57;0;0;0;0;2;2;0;0;27;0;0;1;0.2;0.2;0.0;1;0;13;2;81.3;0;17;1;0;Match Report;;;;;;;;;;;;;;;;;;
Elseid Hysaj;2024-06-19;Wed;UEFA Euro;Group stage;Neutral;D 2–2;al Albania;hr Croatia;Y;RB;90;0;0;0;0;2;0;1;0;31;1;0;1;0.1;0.1;0.1;2;0;18;0;75.0;3;9;0;0;Match Report;;;;;;;;;;;;;;;;;;
Josip Juranović;2024-06-19;Wed;UEFA Euro;Group stage;Neutral;D 2–2;hr Croatia;al Albania;Y;RB;90;0;0;0;0;0;0;0;0;68;3;0;1;0.0;0.0;0.2;2;0;49;1;80.3;3;21;0;0;Match Report;;;;;;;;;;;;;;;;;;
Milos Kerkez;2024-06-19;Wed;UEFA Euro;Group stage;Neutral;L 0–2;hu Hungary;de Germany;Y;WB;74;0;0;0;0;0;0;0;0;30;2;0;0;0.0;0.0;0.1;2;0;20;0;80.0;1;20;4;0;Match Report;;;;;;;;;;;;;;;;;;
Joshua Kimmich;2024-06-19;Wed;UEFA Euro;Group stage;Neutral;W 2–0;de Germany;hu Hungary;Y;RB;90;0;0;0;0;2;1;0;0;93;2;2;3;0.1;0.1;0.2;7;0;75;0;93.8;12;70;5;0;Match Report;;;;;;;;;;;;;;;;;;
Mateo Kovačić;2024-06-19;Wed;UEFA Euro;Group stage;Neutral;D 2–2;hr Croatia;al Albania;Y;LM,DM;90;0;0;0;0;3;2;0;0;107;5;0;1;0.2;0.2;0.1;4;1;89;3;91.8;5;75;6;1;Match Report;;;;;;;;;;;;;;;;;;
Andrej Kramarić;2024-06-19;Wed;UEFA Euro;Group stage;Neutral;D 2–2;hr Croatia;al Albania;Y;LW;83;1;0;0;0;1;1;0;0;46;0;0;1;0.2;0.2;0.1;6;0;30;7;78.9;2;29;2;4;Match Report;;;;;;;;;;;;;;;;;;
Toni Kroos;2024-06-19;Wed;UEFA Euro;Group stage;Neutral;W 2–0;de Germany;hu Hungary;Y;DM;90;0;0;0;0;1;1;0;0;146;2;1;0;0.1;0.1;0.0;7;0;125;0;88.0;23;122;1;0;Match Report;;;;;;;;;;;;;;;;;;
Lovro Majer;2024-06-19;Wed;UEFA Euro;Group stage;Neutral;D 2–2;hr Croatia;al Albania;Y;RW;45;0;0;0;0;1;0;0;0;41;2;0;0;0.1;0.1;0.1;1;0;29;1;87.9;2;29;3;1;Match Report;;;;;;;;;;;;;;;;;;
John McGinn;2024-06-19;Wed;UEFA Euro;Group stage;Neutral;D 1–1;sct Scotland;ch Switzerland;Y;FW;89;0;0;0;0;0;0;1;0;17;0;0;0;0.0;0.0;0.0;2;0;6;1;42.9;1;12;1;0;Match Report;;;;;;;;;;;;;;;;;;
Scott McKenna;2024-06-19;Wed;UEFA Euro;Group stage;Neutral;D 1–1;sct Scotland;ch Switzerland;N;CB;30;0;0;0;0;1;0;1;0;15;0;0;0;0.0;0.0;0.0;0;0;9;0;69.2;0;8;0;0;Match Report;;;;;;;;;;;;;;;;;;
Scott McTominay;2024-06-19;Wed;UEFA Euro;Group stage;Neutral;D 1–1;sct Scotland;ch Switzerland;Y;AM;90;1;0;0;0;4;1;1;0;41;0;1;1;0.3;0.3;0.1;6;0;17;1;68.0;0;15;0;0;Match Report;;;;;;;;;;;;;;;;;;
Maximilian Mittelstädt;2024-06-19;Wed;UEFA Euro;Group stage;Neutral;W 2–0;de Germany;hu Hungary;Y;LB;90;0;1;0;0;1;0;1;0;74;1;1;0;0.0;0.0;0.2;2;1;53;1;80.3;1;53;0;0;Match Report;;;;;;;;;;;;;;;;;;
Luka Modrić;2024-06-19;Wed;UEFA Euro;Group stage;Neutral;D 2–2;hr Croatia;al Albania;Y*;RM,DM;90;0;0;0;0;2;0;0;0;134;1;1;0;0.1;0.1;0.6;7;0;108;3;86.4;11;91;7;2;Match Report;;;;;;;;;;;;;;;;;;
Luis Muriel;2024-06-19;Wed;MLS;Regular Season;Away;D 2–2;Orlando City;Charlotte;Y;FW;82;0;0;0;0;4;1;0;0;53;1;1;0;0.1;0.1;0.4;7;1;40;2;90.9;11;43;6;0;Match Report;;;;;;;;;;;;;;;;;;
Jamal Musiala;2024-06-19;Wed;UEFA Euro;Group stage;Neutral;W 2–0;de Germany;hu Hungary;Y;RW,LW;71;1;0;0;0;3;1;0;0;56;3;0;0;0.2;0.2;0.0;3;1;39;3;84.8;6;50;8;1;Match Report;;;;;;;;;;;;;;;;;;
Dan Ndoye;2024-06-19;Wed;UEFA Euro;Group stage;Neutral;D 1–1;ch Switzerland;sct Scotland;Y;FW,AM;85;0;0;0;0;4;1;0;0;27;2;0;0;0.7;0.7;0.0;2;0;12;3;85.7;1;20;5;3;Match Report;;;;;;;;;;;;;;;;;;
Manuel Neuer;2024-06-19;Wed;UEFA Euro;Group stage;Neutral;W 2–0;de Germany;hu Hungary;Y;GK;90;;;;0;;;;;;;;;;;;;;1;3;100.0;;;;;Match Report;3;0;3;100.0;1;1.0;0;0;0;16;1;0.0;14.0;12;1;8.3;0;6.5
Willi Orban;2024-06-19;Wed;UEFA Euro;Group stage;Neutral;L 0–2;hu Hungary;de Germany;Y;CB;90;0;0;0;0;1;0;0;0;49;4;0;7;0.3;0.3;0.0;0;0;30;0;96.8;1;30;0;0;Match Report;;;;;;;;;;;;;;;;;;
Mario Pašalić;2024-06-19;Wed;UEFA Euro;Group stage;Neutral;D 2–2;hr Croatia;al Albania;N;RW,CM;45;0;0;0;0;3;0;0;0;25;1;0;0;0.4;0.4;0.0;0;0;17;1;89.5;3;12;0;0;Match Report;;;;;;;;;;;;;;;;;;
Ivan Perišić;2024-06-19;Wed;UEFA Euro;Group stage;Neutral;D 2–2;hr Croatia;al Albania;Y;LB;83;0;0;0;0;1;1;0;0;48;0;0;0;0.0;0.0;0.4;4;0;36;0;81.8;4;33;6;0;Match Report;;;;;;;;;;;;;;;;;;
Ylber Ramadani;2024-06-19;Wed;UEFA Euro;Group stage;Neutral;D 2–2;al Albania;hr Croatia;Y;CM,LM;84;0;0;0;0;0;0;0;0;39;1;2;3;0.0;0.0;0.0;1;1;24;1;92.3;1;20;1;0;Match Report;;;;;;;;;;;;;;;;;;
Fabian Rieder;2024-06-19;Wed;UEFA Euro;Group stage;Neutral;D 1–1;ch Switzerland;sct Scotland;N;AM;16;0;0;0;0;0;0;0;0;7;0;0;0;0.0;0.0;0.2;2;0;3;0;60.0;0;3;1;0;Match Report;;;;;;;;;;;;;;;;;;
Andrew Robertson;2024-06-19;Wed;UEFA Euro;Group stage;Neutral;D 1–1;sct Scotland;ch Switzerland;Y*;WB;90;0;0;0;0;0;0;0;0;58;2;0;2;0.0;0.0;0.3;4;1;38;1;77.6;3;21;4;0;Match Report;;;;;;;;;;;;;;;;;;
Antonio Rüdiger;2024-06-19;Wed;UEFA Euro;Group stage;Neutral;W 2–0;de Germany;hu Hungary;Y;CB;90;0;0;0;0;1;0;1;0;104;0;0;0;0.0;0.0;0.2;3;0;91;0;93.8;10;84;0;0;Match Report;;;;;;;;;;;;;;;;;;
Roland Sallai;2024-06-19;Wed;UEFA Euro;Group stage;Neutral;L 0–2;hu Hungary;de Germany;Y;AM,WB;86;0;0;0;0;3;1;0;0;30;0;1;0;0.4;0.4;0.2;4;0;16;2;72.7;1;24;3;0;Match Report;;;;;;;;;;;;;;;;;;
